uid,title,types,sourceTypes,sourceTitle,publishYear,publishMonth,volume,issue,pagesrange,pagesbegin,pagesend,pagescount,articleNumber,authors,record,citingArticles,references,related,db,count,doi,issn,eissn,pmid,authorKeywords,authorsList
WOS:000451625800023,Antecedent soil water content and vapor pressure deficit interactively control water potential in <i>Larrea tridentata</i>,Article,Article,New Phytologist,2019,Jan,221,1,218-232,218,232,15,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000451625800023&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000451625800023&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000451625800023&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000451625800023&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,30,10.1111/nph.15374,0028-646X,1469-8137,30129140,,"Guo, JS; Ogle, K"
WOS:000431968900009,Water source niche overlap increases with site moisture availability in woody perennials,Article,Article,Plant Ecology,2018,Jun,219,6,719-735,719,735,17,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000431968900009&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000431968900009&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000431968900009&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000431968900009&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,32,10.1007/s11258-018-0829-z,1385-0237,1573-5052,NA,,"Guo, JS; Hungate, BA; Kolb, TE; Koch, GW"
WOS:000463036400010,Should we be concerned about multiple comparisons in hierarchical Bayesian models?,Article,Article,Methods In Ecology And Evolution,2019,Apr,10,4,553-564,553,564,12,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000463036400010&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000463036400010&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000463036400010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000463036400010&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,11,10.1111/2041-210X.13139,2041-210X,2041-2096,NA,,"Ogle, K; Peltier, D; Fell, M; Guo, J; Kropp, H; Barber, J"
WOS:000492817500001,Temporal shifts in iso/anisohydry revealed from daily observations of plant water potential in a dominant desert shrub,Article,Article,New Phytologist,2020,Jan,225,2,713-726,713,726,14,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000492817500001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000492817500001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000492817500001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000492817500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,82,10.1111/nph.16196,0028-646X,1469-8137,31519032,,"Guo, JS; Hultine, KR; Koch, GW; Kropp, H; Ogle, K"
WOS:000535850500010,Non-structural carbohydrate dynamics associated with antecedent stem water potential and air temperature in a dominant desert shrub,Article,Article,Plant Cell And Environment,2020,Jun,43,6,1467-1483,1467,1483,17,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000535850500010&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000535850500010&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000535850500010&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000535850500010&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,37,10.1111/pce.13749,0140-7791,1365-3040,32112440,,"Guo, JS; Gear, L; Hultine, KR; Koch, GW; Ogle, K"
WOS:000636286700022,Calibration Strategies for Detecting Macroscale Patterns in NEON Atmospheric Carbon Isotope Observations,Article,Article,Journal Of Geophysical Research-Biogeosciences,2021,Mar,126,3,NA,NA,NA,20,e2020JG005862,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000636286700022&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000636286700022&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000636286700022&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000636286700022&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,10,10.1029/2020JG005862,2169-8953,2169-8961,NA,,"Fiorella, RP; Good, SP; Allen, ST; Guo, JS; Still, CJ; Noone, DC; Anderegg, WRL; Florian, CR; Luo, HY; Pingintha-Durden, N; Bowen, GJ"
WOS:000635675800005,"Adaptive versus non-adaptive responses to drought in a non-native riparian tree/shrub, <i>Tamarix</i> spp",Article,Article,Agricultural And Forest Meteorology,2021,May 15,301,NA,NA,NA,NA,12,108342,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000635675800005&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000635675800005&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000635675800005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000635675800005&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,7,10.1016/j.agrformet.2021.108342,0168-1923,1873-2240,NA,,"Bush, SE; Guo, JS; Dehn, D; Grady, KC; Hull, JB; Johnson, E; Koepke, DF; Long, RW; Potts, DL; Hultine, KR"
WOS:000637330800004,Temporal controls on crown nonstructural carbohydrates in southwestern US tree species,Article,Article,Tree Physiology,2021,Mar,41,3,388-402,388,402,15,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000637330800004&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000637330800004&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000637330800004&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000637330800004&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,16,10.1093/treephys/tpaa149,0829-318X,1758-4469,33147630,,"Peltier, DMP; Guo, J; Nguyen, P; Bangs, M; Gear, L; Wilson, M; Jefferys, S; Samuels-Crow, K; Yocom, LL; Liu, Y; Fell, MK; Auty, D; Schwalm, C; Anderegg, WRL; Koch, GW; Litvak, ME; Ogle, K"
WOS:000710008900001,"Opportunities, challenges and pitfalls in characterizing plant water-use strategies",Review,Review,Functional Ecology,2022,Jan,36,1,24-37,24,37,14,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000710008900001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000710008900001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000710008900001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000710008900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,87,10.1111/1365-2435.13945,0269-8463,1365-2435,NA,,"Kannenberg, SA; Guo, JS; Novick, KA; Anderegg, WRL; Feng, X; Kennedy, D; Konings, AG; Martínez-Vilalta, J; Matheny, AM"
WOS:000735437600029,Harnessing the NEON data revolution to advance open environmental science with a diverse and data-capable community,Article,Article,Ecosphere,2021,Dec,12,12,NA,NA,NA,22,e03833,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000735437600029&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000735437600029&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000735437600029&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000735437600029&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,32,10.1002/ecs2.3833,2150-8925,NA,NA,,"Nagy, RC; Balch, JK; Bissell, EK; Cattau, ME; Glenn, NF; Halpern, BS; Ilangakoon, N; Johnson, B; Joseph, MB; Marconi, S; O'Riordan, C; Sanovia, J; Swetnam, TL; Travis, WR; Wasser, LA; Woolner, E; Zarnetske, P; Abdulrahim, M; Adler, J; Barnes, G; Bartowitz, KJ; Blake, RE; Bombaci, SP; Brun, J; Buchanan, JD; Chadwick, KD; Chapman, MS; Chong, SS; Chung, YA; Corman, JR; Couret, J; Crispo, E; Doak, TG; Donnelly, A; Duffy, KA; Dunning, KH; Duran, SM; Edmonds, JW; Fairbanks, DE; Felton, AJ; Florian, CR; Gann, D; Gebhardt, M; Gill, NS; Gram, WK; Guo, JS; Harvey, BJ; Hayes, KR; Helmus, MR; Hensley, RT; Hondula, KL; Huang, T; Hundertmark, WJ; Iglesias, V; Jacinthe, PA; Jansen, LS; Jarzyna, MA; Johnson, TM; Jones, KD; Jones, MA; Just, MG; Kaddoura, YO; Kagawa-Vivani, AK; Kaushik, A; Keller, AB; King, KBS; Kitzes, J; Koontz, MJ; Kouba, P; Kwan, WY; LaMontagne, JM; LaRue, EA; Li, DJ; Li, BN; Lin, Y; Liptzin, D; Long, WA; Mahood, AL; Malloy, SS; Malone, SL; McGlinchy, JM; Meier, CL; Melbourne, BA; Mietkiewicz, N; Morisette, JT; Moustapha, M; Muscarella, C; Musinsky, J; Muthukrishnan, R; Naithani, K; Neely, M; Norman, K; Parker, SM; Rocha, MP; Petri, L; Ramey, CA; Record, S; Rossi, MW; SanClements, M; Scholl, VM; Schweiger, AK; Seyednasrollah, B; Sihi, D; Smith, KR; Sokol, ER; Spaulding, SA; Spiers, A; St Denis, LA; Staccone, AP; Whitney, KS; Stanitski, DM; Stricker, E; Surasinghe, TD; Thomsen, SK; Vasek, PM; Li, XL; Yang, D; Yu, R; Yule, KM; Zhu, K"
WOS:000987436500001,A 3-D groundwater isoscape of the contiguous USA for forensic and water resource science,Article,Article,Plos One,2022,Jan 7,17,1,NA,NA,NA,22,e0261651,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,18,10.1371/journal.pone.0261651,NA,1932-6203,34995313,,"Bowen, GJ; Guo, JS; Allen, ST"
WOS:000745663100007,Temperature memory and non-structural carbohydrates mediate legacies of a hot drought in trees across the southwestern USA,Article,Article,Tree Physiology,2022,Jan,42,1,71-85,71,85,15,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,36,10.1093/treephys/tpab091,0829-318X,1758-4469,34302167,,"Peltier, DMP; Guo, J; Nguyen, P; Bangs, M; Wilson, M; Samuels-Crow, K; Yocom, LL; Liu, Y; Fell, MK; Shaw, JD; Auty, D; Schwalm, C; Anderegg, WRL; Koch, GW; Litvak, ME; Ogle, K"
WOS:000802840700001,Temporal variation in stomatal sensitivity to vapour pressure deficit in western riparian forests,Article,Article,Functional Ecology,2022,Jul,36,7,1599-1611,1599,1611,13,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,14,10.1111/1365-2435.14066,0269-8463,1365-2435,NA,,"Guo, JS; Bush, SE; Hultine, KR"
WOS:000869555100001,Contemporary tree growth shows altered climate memory,Article,Article,Ecology Letters,2022,Dec,25,12,2663-2674,2663,2674,12,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,27,10.1111/ele.14130,1461-023X,1461-0248,36257775,,"Peltier, DMP; Anderegg, WRL; Guo, JS; Ogle, K"
WOS:000899800900001,Quantifying the drivers of ecosystem fluxes and water potential across the soil-plant-atmosphere continuum in an arid woodland,Article,Article,Agricultural And Forest Meteorology,2023,Feb 15,329,NA,NA,NA,NA,10,109269,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,38,10.1016/j.agrformet.2022.109269,0168-1923,1873-2240,NA,,"Kannenberg, SA; Barnes, ML; Bowling, DR; Driscoll, AW; Guo, JS; Anderegg, WRL"
